id,sprite,name,TH-name,HP,Type,enemy action,Biome
B1-N01,,Frost Slime,สไลม์หวานเย็น,30,Normal,4,1
B1-N02,,Flame Slime,สไลม์เร่าร้อน,30,Normal,4,1
B1-N03,,Toxin Slime,สไลม์บอระเพ็ด,30,Normal,4,1
B1-N04,,King Puru Slime,ราชา ปุรุ,30,Normal,4,1
B1-N05,,Fighter Goblin,ก๊อบลินขาลุย,30,Normal,4,1
B1-N06,,Archer Goblin,ก๊อบลินศรพเนจร,30,Normal,4,1
B1-N07,,Moss Golem,โกเลม,30,Normal,4,1
B1-N08,,Iron Golem,โกเลมชาวบ้าน,30,Normal,4,1
B1-N09,,Horn Rabbit,กระต่ายเขาขวิด,30,Normal,4,1
B1-N10,,Angry Shroom,เห็ดหัวร้อน,30,Normal,4,1
B1-E01,,Berserk Goblin,ก๊อบลินคลั่งศึก,45,Elite,3,1
B1-E02,,Guard Goblin,ก๊อบลินโล่พิทักษ์,45,Elite,3,1
B1-E03,,King Puru Puru,จักรพรรดิ ปุรุปุรุ,45,Elite,3,1
B1-E04,,Whoppie Shroom,เห็ดพิศวง วูปปี้,45,Elite,3,1
B1-E05,,Horn Rabbit Mage,จอมเวทกระต่ายเขาขวิด,45,Elite,3,1
B1-B01,,Iron Golem Automaton,เหล็กไหลออโตมาตัน,100,Boss,2,1
B2-N01,,Moss bud Puru,ปุรุยอดอ่อน,35,Normal,4,2
B2-N02,,Leaf puff Wisp,ภูตปุยพฤกษา,35,Normal,4,2
B2-N03,,Root staff Hexer,หมอผีพฤกษา,35,Normal,4,2
B2-N04,,Canopteryx Drake,มังกรปีกเวหา,35,Normal,4,2
B2-N05,,Mosscrest Wyrmling,มังกรหงอนเขียว,35,Normal,4,2
B2-N06,,Dewbelly Drake,มังกรหยาดน้ำค้าง,35,Normal,4,2
B2-N07,,Lanterncap,เห็ดหัวกระสุน,35,Normal,4,2
B2-N08,,Veilcap,เห็ดสไปต์SPD,35,Normal,4,2
B2-N09,,Shellcap Strider,เห็ดกระดองขายาว,35,Normal,4,2
B2-N10,,Vinehorn Wyrmling,มังกรเขาเถาวัลย์,35,Normal,4,2
B2-E01,,Verdra Drake,มังกรเขียวมรกต,50,Elite,3,2
B2-E02,,Flarepetal Warden,องครักษ์บุปผาเพลิง,50,Elite,3,2
B2-E03,,Shellcap Warden,องครักษ์เห็ดเกราะศิลา,50,Elite,3,2
B2-E04,,Vinehorn Evo,สุดยอดมังกรเขาเถาวัลย์รัดตรึง,50,Elite,3,2
B2-E05,,Mosscrest Evo,สุดยอดมังกรหงอนพฤกษา,50,Elite,3,2
B2-B01,,Sylvazure Empyrean,เทพมังกรพฤกษา ซิลเวอร์วูฟล์,125,Boss,2,2
B3-N01,,Grumblepot Sprout,เด็กมวยขี้บ่น,42,Normal,4,3
B3-N10,,Cindercap Knocker,นักเลงกางเกงขาโจ๋,42,Normal,4,3
B3-N03,,Bramblemaw Pup,ลูกหมากรามเฉือน,42,Normal,4,3
B3-N04,,Peekaboo Sackling,จ๊ะเอ๋!? กระสอบต่อยได้นะ,42,Normal,4,3
B3-N05,,Wisp wing Moffle,จันทรา มอฟเฟิล,42,Normal,4,3
B3-N06,,Glowhorn Mole,ตุ่นเขาไฟฉาย LED,42,Normal,4,3
B3-N07,,Prismtail Gecko,จิ้งจกหางปริซึมรุ้งๆ,42,Normal,4,3
B3-N08,,Shard Reaper,ยมทูตเเย้มวิญญาณ,42,Normal,4,3
B3-N09,,Wispling,ภูตวิญญาณ ดุ๊กดิ๊ก เซเล่,42,Normal,4,3
B3-N10,,Moonroot Sprig,รากจันทรา,42,Normal,4,3
B3-E03,,Moonveil Moffle,เเย้มจันทรา มอฟเฟิล,60,Elite,3,3
B3-E05,,Grumblepot Elder,ลุงของเด็กมวยขี้บ่น,60,Elite,3,3
B3-E03,,Ceberus Pup,หมาป่าเซอร์เบอรัส,60,Elite,3,3
B3-E04,,Wispveil,ภูตม่านวิญญาณ เซเล่,60,Elite,3,3
B3-E05,,Shardveil Reaper,ยมทูตลัคนาจันทรา,60,Elite,3,3
B3-B01,,Eclipse Moffleir Sovereign,เจิสจรัญคราสจันทรา มอฟฟิออร์,200,Boss,2,3
